"Nom_de_la_commune","#Code_commune_INSEE","Code_postal","Ligne_5"
"L ABERGEMENT CLEMENCIAT","01001","01400",
"L ABERGEMENT DE VAREY","01002","01640",
"AMBERIEU EN BUGEY","01004","01500",
"AMBERIEUX EN DOMBES","01005","01330",
"AMBLEON","01006","01300",
"AMBRONAY","01007","01500",
"AMBUTRIX","01008","01500",
"ANDERT ET CONDON","01009","01300",
"ANGLEFORT","01010","01350",
"APREMONT","01011","01100",
"ARANC","01012","01110",
"ARANDAS","01013","01230",
"ARBENT","01014","01100",
"ARBOYS EN BUGEY","01015","01300","ARBIGNIEU"
"ARBOYS EN BUGEY","01015","01300","ST BOIS"
"ARBIGNY","01016","01190",
"ARGIS","01017","01230",
"ARMIX","01019","01510",
"ARS SUR FORMANS","01021","01480",
"ARTEMARE","01022","01510",
"ASNIERES SUR SAONE","01023","01570",
"ATTIGNAT","01024","01340",
"BAGE DOMMARTIN","01025","01380","BAGE LA VILLE"
"BAGE DOMMARTIN","01025","01380","DOMMARTIN"
"BAGE LE CHATEL","01026","01380",
"BALAN","01027","01360",
"BANEINS","01028","01990",
"BEAUPONT","01029","01270",
"BEAUREGARD","01030","01480",
"BELLIGNAT","01031","01100",
"BELIGNEUX","01032","01360",
"BELIGNEUX","01032","01360","CAMP DE LA VALBONNE"
"BELIGNEUX","01032","01360","CHANES"
"BELIGNEUX","01032","01360","LA VALBONNE"
"VALSERHONE","01033","01200","BELLEGARDE SUR VALSERINE"
"VALSERHONE","01033","01200","CHATILLON EN MICHAILLE"
"VALSERHONE","01033","01200","LANCRANS"
"VALSERHONE","01033","01200","OCHIAZ"
"VALSERHONE","01033","01200","VOUVRAY"
"BELLEY","01034","01300",
"BELLEYDOUX","01035","01130",
"VALROMEY SUR SERAN","01036","01260","BELMONT LUTHEZIEU"
"VALROMEY SUR SERAN","01036","01260","CHARANCIN"
"VALROMEY SUR SERAN","01036","01260","FITIGNIEU"
"VALROMEY SUR SERAN","01036","01260","LOMPNIEU"
"VALROMEY SUR SERAN","01036","01260","LUTHEZIEU"
"VALROMEY SUR SERAN","01036","01260","SUTRIEU"
"VALROMEY SUR SERAN","01036","01260","VIEU"
"BENONCES","01037","01470",
"BENY","01038","01370",
"BEREZIAT","01040","01340",
"BETTANT","01041","01500",
"BEY","01042","01290",
"BEYNOST","01043","01700",
"BILLIAT","01044","01200",
"BIRIEUX","01045","01330",
"BIZIAT","01046","01290",
"BLYES","01047","01150",
"LA BOISSE","01049","01120",
"BOISSEY","01050","01190",
"BOISSEY","01050","01380",
"BOLOZON","01051","01450",
"BOULIGNEUX","01052","01330",
"BOURG EN BRESSE","01053","01000",
"BOURG EN BRESSE","01053","01000","BROU"
"BOURG ST CHRISTOPHE","01054","01800",
"BOURG ST CHRISTOPHE","01054","01800","MARFOZ"
"BOYEUX ST JEROME","01056","01640",
"BOZ","01057","01190",
"BREGNIER CORDON","01058","01300",
"BRENOD","01060","01110",
"BRENS","01061","01300",
"BRESSOLLES","01062","01360",
"BRESSOLLES","01062","01360","LA LECHERE"
"BRION","01063","01460",
"BRIORD","01064","01470",
"BUELLAS","01065","01310",
"BUELLAS","01065","01310","CORGENON"
"LA BURBANCHE","01066","01510",
"CEIGNES","01067","01430",
"CERDON","01068","01450",
"CERTINES","01069","01240",
"CESSY","01071","01170",
"CEYZERIAT","01072","01250",
"CEYZERIEU","01073","01350",
"CHALAMONT","01074","01320",
"CHALEINS","01075","01480",
"CHALEY","01076","01230",
"CHALLES LA MONTAGNE","01077","01450",
"CHALLEX","01078","01630",
"CHAMPAGNE EN VALROMEY","01079","01260",
"CHAMPAGNE EN VALROMEY","01079","01260","LILIGNOD"
"CHAMPAGNE EN VALROMEY","01079","01260","PASSIN"
"CHAMPDOR CORCELLES","01080","01110","CHAMPDOR"
"CHAMPDOR CORCELLES","01080","01110","CORCELLES"
"CHAMPFROMIER","01081","01410",
"CHANAY","01082","01420",
"CHANEINS","01083","01990",
"CHANOZ CHATENAY","01084","01400",
"LA CHAPELLE DU CHATELARD","01085","01240",
"CHARIX","01087","01130",
"CHARNOZ SUR AIN","01088","01800",
"CHATEAU GAILLARD","01089","01500",
"CHATENAY","01090","01320",
"CHATILLON LA PALUD","01092","01320",
"CHATILLON SUR CHALARONNE","01093","01400",
